row_id,raw_image_path_from_csv,resolved_image_path,exists,file_size_bytes,issue
86,/data/all_images/image_86.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_86.jpeg,True,25137,
87,/data/all_images/image_87.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_87.jpeg,True,35978,
88,/data/all_images/image_88.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_88.jpeg,True,33245,
89,/data/all_images/image_89.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_89.jpeg,True,24841,
90,/data/all_images/image_90.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_90.jpeg,True,208514,
91,/data/all_images/image_91.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_91.jpeg,True,30567,
92,/data/all_images/image_92.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_92.jpeg,True,23490,
93,/data/all_images/image_93.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_93.jpeg,True,23612,
94,/data/all_images/image_94.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_94.jpeg,True,24841,
95,/data/all_images/image_95.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_95.jpeg,True,28844,
96,/data/all_images/image_96.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_96.jpeg,True,28844,
97,/data/all_images/image_97.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_97.jpeg,True,27775,
98,/data/all_images/image_98.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_98.jpeg,True,24656,
99,/data/all_images/image_99.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_99.jpeg,True,23285,
100,/data/all_images/image_100.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_100.jpeg,True,33364,
101,/data/all_images/image_101.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_101.jpeg,True,66883,
102,/data/all_images/image_102.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_102.jpeg,True,22634,
103,/data/all_images/image_103.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_103.jpeg,True,56471,
104,/data/all_images/image_104.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_104.jpeg,True,174206,
105,/data/all_images/image_105.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_105.jpeg,True,103299,
106,/data/all_images/image_106.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_106.jpeg,True,251936,
107,/data/all_images/image_107.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_107.jpeg,True,44666,
108,/data/all_images/image_108.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_108.jpeg,True,48017,
109,/data/all_images/image_109.png,/DATA5/prabhakar/telecom/extracted_images/images/image_109.png,True,34304,
110,/data/all_images/image_110.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_110.jpeg,True,70403,
111,/data/all_images/image_111.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_111.jpeg,True,26305,
112,/data/all_images/image_112.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_112.jpeg,True,158993,
113,/data/all_images/image_113.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_113.jpeg,True,56961,
114,/data/all_images/image_114.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_114.jpeg,True,63158,
115,/data/all_images/image_115.png,/DATA5/prabhakar/telecom/extracted_images/images/image_115.png,True,43039,
116,/data/all_images/image_116.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_116.jpeg,True,140057,
117,/data/all_images/image_117.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_117.jpeg,True,52502,
118,/data/all_images/image_118.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_118.jpeg,True,52502,
119,/data/all_images/image_119.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_119.jpeg,True,23189,
120,/data/all_images/image_120.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_120.jpeg,True,23978,
121,/data/all_images/image_121.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_121.jpeg,True,76039,
122,/data/all_images/image_122.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_122.jpeg,True,67874,
123,/data/all_images/image_123.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_123.jpeg,True,44258,
124,/data/all_images/image_124.png,/DATA5/prabhakar/telecom/extracted_images/images/image_124.png,True,49152,
125,/data/all_images/image_125.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_125.jpeg,True,46239,
126,/data/all_images/image_126.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_126.jpeg,True,23771,
127,/data/all_images/image_127.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_127.jpeg,True,55112,
128,/data/all_images/image_128.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_128.jpeg,True,49964,
129,/data/all_images/image_129.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_129.jpeg,True,36065,
130,/data/all_images/image_130.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_130.jpeg,True,36388,
131,/data/all_images/image_131.png,/DATA5/prabhakar/telecom/extracted_images/images/image_131.png,True,39826,
132,/data/all_images/image_132.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_132.jpeg,True,83481,
133,/data/all_images/image_133.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_133.jpeg,True,27337,
134,/data/all_images/image_134.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_134.jpeg,True,39824,
135,/data/all_images/image_135.png,/DATA5/prabhakar/telecom/extracted_images/images/image_135.png,True,52245,
136,/data/all_images/image_136.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_136.jpeg,True,82116,
137,/data/all_images/image_137.png,/DATA5/prabhakar/telecom/extracted_images/images/image_137.png,True,58168,
138,/data/all_images/image_138.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_138.jpeg,True,25409,
139,/data/all_images/image_139.png,/DATA5/prabhakar/telecom/extracted_images/images/image_139.png,True,31608,
140,/data/all_images/image_140.png,/DATA5/prabhakar/telecom/extracted_images/images/image_140.png,True,22054,
141,/data/all_images/image_141.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_141.jpeg,True,83498,
142,/data/all_images/image_142.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_142.jpeg,True,90470,
143,/data/all_images/image_143.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_143.jpeg,True,44975,
